route_id,stop_id,sequence_no,stop_name
R2276770,S0198,1,Ratnapark(purano bus park)
R2276770,S0086,2,Tourism Board Stop
R2276770,S0088,3,Bhadrakali
R2276770,S0036,4,Singha Durbar West Stop
R2276770,S0097,5,Maitighar
R2276770,S0099,6,Babarmahal Stop West
R2276770,S_406,7,bizulibazar pul
R2276770,S0069,8,Naya Baneshwor Tampoo Station
R2276770,S0029,9,Minbhawan
R2276770,S0127,10,Shantinagar Stop
R2276770,S0017,11,Tinkune Stop
R2276770,S0107,12,Koteshwor Stop
R2276770,S0159,13,Jadibuti
R2276770,S0022,14,Lokanthali North
R2276770,S0004,15,Kaushaltar
R2276770,S0092,16,Gathaghar
R2276770,S0007,17,Chardobato
R2276770,S0110,18,Thimi Stop
R2276999,S0003,1,Shobhabhagwati
R2276999,S0207,2,ASCOL Stop
R2276999,S_391,3,lainchaur chowk
R2276999,S0152,4,Jamal
R2276999,S0166,5,Kantipath
R2276999,S0137,6,Ghantaghar (घण्टाघर) stop
R2276999,S0042,7,Kamaladi Road (कमलादी) stop
R2276999,S0094,8,Krishna Pauroti Stop
R2276999,S0210,9,Ciy Center Stop
R2276999,S0083,10,Gyaneshwor Chowk
R2276999,S0035,11,Maiti Devi chowk
R2276999,S0222,12,Old Baneshwor
R2276999,S0016,13,Bhimsengola stop
R2276999,S0148,14,Sinamangal
R2276999,S0027,15,KMC stop
R2276999,S0139,16,Sinamangal/Ring Road Stop सिनामंगल
R2276999,S0053,17,Gairigaun Stop
R2276999,S0107,18,Koteshwor Stop
R2277212,S0013,1,Ratna Park
R2277212,S0137,2,Ghantaghar (घण्टाघर) stop
R2277212,S0094,3,Krishna Pauroti Stop
R2277212,S0042,4,Kamaladi Road (कमलादी) stop
R2277212,S0035,5,Maiti Devi chowk
R2277212,S0222,6,Old Baneshwor
R2277212,S0016,7,Bhimsengola stop
R2277212,S0148,8,Sinamangal
R2277212,S0027,9,KMC stop
R2277212,S0139,10,Sinamangal/Ring Road Stop सिनामंगल
R2277212,S0053,11,Gairigaun Stop
R2277212,S0107,12,Koteshwor Stop
R2282031,S0076,1,Sundhara Stop
R2282031,S0198,2,Ratnapark(purano bus park)
R2282031,S0086,3,Tourism Board Stop
R2282031,S0385,4,Unknown Stop
R2282031,S0056,5,Tripureshwor
R2282031,S0023,6,Kalimati
R2282031,S0230,7,Balkhu
R2282031,S0225,8,Kumari Club
R2282031,S0043,9,TU Gate
R2282031,S0049,10,Naya Bato
R2282031,S0047,11,Tinkune (Kirtipur side)
R2282031,S0221,12,Naya Bazar
R2282031,S0084,13,Panga Dobato
R2282031,S0085,14,Nagaon Dobato
R2282031,S0041,15,BishnuDevi Health Centre
R2282101,S0040,1,Sundarijal
R2282101,S0140,2,Gokarna Bus Stop
R2282101,S0125,3,Attarkhel
R2282101,S0135,4,Jorpati
R2282101,S0026,5,Boudha
R2282101,S0172,6,Hyatt Regency
R2282101,S0195,7,Chabahil चाबाहील
R2282101,S0052,8,JayaBageshwari Stop
R2282101,S0204,9,Gaushala Chowk Stop
R2282101,S0045,10,Ratopul
R2282101,S0083,11,Gyaneshwor Chowk
R2282101,S0210,12,Ciy Center Stop
R2282101,S0094,13,Krishna Pauroti Stop
R2282101,S0042,14,Kamaladi Road (कमलादी) stop
R2282101,S0198,15,Ratnapark(purano bus park)
R2294107,S0013,1,Ratna Park
R2294107,S0088,2,Bhadrakali
R2294107,S0036,3,Singha Durbar West Stop
R2294107,S0132,4,Maitighar Stop--South
R2294107,S0185,5,Thapathali
R2294107,S0063,6,Kupondole stop
R2294107,S0168,7,Jwagal
R2294107,S0142,8,UN Stop
R2294107,S0058,9,Natole
R2294107,S0226,10,Gahabahal
R2294107,S0227,11,Mahapal
R2294107,S0154,12,Mangalbazar
R2294107,S0133,13,Saughal
R2294107,S0141,14,Tyogal
R2294107,S0020,15,Gwarko Chowk Stop
R2294152,S0013,1,Ratna Park
R2294152,S0198,2,Ratnapark(purano bus park)
R2294152,S0086,3,Tourism Board Stop
R2294152,S0088,4,Bhadrakali
R2294152,S0036,5,Singha Durbar West Stop
R2294152,S0097,6,Maitighar
R2294152,S0132,7,Maitighar Stop--South
R2294152,S0185,8,Thapathali
R2294152,S0063,9,Kupondole stop
R2294152,S0168,10,Jwagal
R2294152,S0328,11,Jwagal Chowk
R2294152,S0283,12,Nabil Bank
R2294152,S0283,13,Nabil Bank
R2294152,S0284,14,Harihar Bhawan/ Krishna galli
R2294152,S0116,15,Damkal
R2294152,S0103,16,Jawlakhel Stop
R2294152,S0213,17,Kumaripati
R2294152,S0155,18,Patan Hospital
R2294152,S0112,19,Lagankhel Stop
R2294152,S0223,20,Lalitpur Industrial Estate
R2295734,S0013,1,Ratna Park
R2295734,S0166,2,Kantipath
R2295734,S0152,3,Jamal
R2295734,S0193,4,Lainchour Chowk Bus Stop
R2295734,S0087,5,Lainchaur stop
R2295734,S0149,6,Lazimpat stop
R2295734,S0082,7,Panipokhari stop
R2295734,S0124,8,Teaching Hospital stop
R2295734,S0030,9,Chakrapath Stop-- South
R2295734,S0044,10,Narayan Gopal Chowk
R2295734,S0158,11,Bansbari stop
R2295734,S0231,12,Golfutar stop
R2295734,S0038,13,Deuba Chowk stop
R2295734,S0096,14,Budhanilkantha Micro Stand
